task_id,sonnet_C,sonnet_D,sonnet_R,gpt_C,gpt_D,gpt_R,gemini_C,gemini_D,gemini_R,consensus_C,consensus_D,consensus_R,dispute_axes
10014,C1,D3,R0,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10015,C1,D3,R0,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10016,C1,D3,R0,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10017,C1,D3,R0,C1,D2,R0,C1,D3,R0,C1,D3,R0,
10018-1,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10018-2,C0,D0,R0,C1,D2,R0,C0,D0,R0,C0,D0,R0,
10019-1,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10019-2,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10019-3,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
1002-1,C2,D0,R0,C2,D0,R0,C2,D0,R2,C2,D0,R0,
1002-2,C1,D0,R0,C2,D0,R2,C2,D0,R2,C2,D0,R2,
10020-1,C2,D2,R0,C2,D2,R0,C2,D2,R0,C2,D2,R0,
10020-2,C2,D2,R0,C2,D2,R0,C2,D2,R0,C2,D2,R0,
10021,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10022-1,C1,D0,R0,C2,D0,R0,C1,D0,R0,C1,D0,R0,
10022-2,C1,D0,R0,C2,D0,R0,C1,D0,R0,C1,D0,R0,
10023,C0,D2,R0,C1,D2,R0,C0,D2,R0,C0,D2,R0,
10024,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10025-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10025-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10026-1,C2,D1,R0,C1,D1,R0,C2,D0,R0,C2,D1,R0,
10026-2,C2,D1,R0,C2,D1,R0,C2,D0,R0,C2,D1,R0,
10027,C2,D1,R0,C2,D1,R0,C2,D0,R0,C2,D1,R0,
10028-1,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10028-2,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10029,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
1003,C2,D0,R0,C2,D0,R2,C2,D0,R2,C2,D0,R2,
10030,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10031,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10033,C2,D0,R0,C2,D1,R0,C2,D0,R0,C2,D0,R0,
10034,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10035-1,C1,D2,R2,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10035-2,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10036,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10037,C1,D3,R2,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10038-1,C1,D1,R0,C1,D1,R0,C1,D1,R0,C1,D1,R0,
10038-2,C1,D2,R0,C1,D2,R0,C1,D3,R0,C1,D2,R0,
10039,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
1004,C2,D0,R0,C2,D0,R1,C2,D0,R0,C2,D0,R0,
10040,C1,D2,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10041,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10042-1,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10042-2,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10043,C1,D3,R2,C1,D3,R0,C1,D3,R2,C1,D3,R2,
10044-1,C1,D2,R2,C1,D3,R0,C1,D3,R2,C1,D3,R2,
10044-2,C1,D2,R2,C1,D3,R0,C1,D3,R2,C1,D3,R2,
10045-1,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10045-2,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10046,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10047-1,C2,D3,R0,C2,D3,R0,C2,D3,R0,C2,D3,R0,
10047-2,C1,D3,R0,C1,D2,R0,C2,D3,R0,C1,D3,R0,
10048,C2,D3,R0,C2,D3,R0,C2,D3,R0,C2,D3,R0,
10049,C1,D2,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
1005-1,C2,D0,R0,C2,D0,R2,C2,D0,R2,C2,D0,R2,
1005-2,C2,D0,R0,C2,D0,R2,C2,D0,R2,C2,D0,R2,
10050,C1,D2,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10051-1,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10051-2,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10052,C2,D1,R1,C2,D1,R0,C2,D1,R1,C2,D1,R1,
10054,C1,D2,R0,C2,D3,R0,C2,D3,R0,C2,D3,R0,
10055,C1,D2,R0,C1,D2,R0,C2,D3,R0,C1,D2,R0,
10056,C1,D3,R2,C1,D3,R0,C1,D3,R2,C1,D3,R2,
10057,C1,D3,R2,C1,D3,R0,C1,D3,R2,C1,D3,R2,
10058-1,C1,D2,R0,C2,D3,R0,C2,D2,R0,C2,D2,R0,
10058-2,C1,D2,R0,C2,D3,R0,C2,D2,R0,C2,D2,R0,
10059,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
1006,C2,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
10060,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10061-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10061-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10062-1,C1,D1,R0,C1,D1,R0,C1,D1,R0,C1,D1,R0,
10062-2,C0,D0,R0,C1,D0,R0,C0,D0,R0,C0,D0,R0,
10063,C0,D0,R0,C1,D0,R0,C0,D0,R0,C0,D0,R0,
10064-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10064-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10065,C0,D0,R0,C0,D0,R0,C0,D0,R0,C0,D0,R0,
10066,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10067,C1,D2,R0,C1,D2,R0,C1,D3,R0,C1,D2,R0,
10068,C1,D3,R0,C1,D2,R0,C1,D3,R0,C1,D3,R0,
10069,C1,D3,R0,C1,D2,R0,C1,D3,R0,C1,D3,R0,
1007,C2,D0,R0,C2,D0,R1,C2,D0,R0,C2,D0,R0,
10070,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10071,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10072,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10073,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10074,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10075,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10076,C0,D0,R0,C1,D1,R0,C0,D0,R0,C0,D0,R0,
10078,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10079,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
1008,C1,D1,R0,C1,D1,R0,C2,D1,R0,C1,D1,R0,
10080-1,C1,D2,R0,C2,D3,R0,C2,D2,R0,C2,D2,R0,
10080-2,C1,D2,R0,C1,D2,R0,C2,D2,R0,C1,D2,R0,
10081,C1,D3,R0,C1,D3,R0,C1,D2,R0,C1,D3,R0,
10082,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10083,C0,D0,R0,C0,D0,R0,C0,D0,R0,C0,D0,R0,
10084-1,C2,D3,R0,C1,D3,R0,C2,D3,R0,C2,D3,R0,
10084-2,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10084-3,C2,D3,R0,C1,D3,R0,C2,D3,R0,C2,D3,R0,
10085-1,C2,D2,R0,C1,D2,R0,C2,D2,R0,C2,D2,R0,
10085-2,C2,D2,R0,C1,D2,R0,C2,D2,R0,C2,D2,R0,
10086,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10087-1,C1,D3,R0,C1,D3,R0,C2,D3,R0,C1,D3,R0,
10087-2,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10088-1,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10088-2,C1,D3,R0,C1,D3,R0,C2,D3,R0,C1,D3,R0,
10088-3,C1,,,C1,D3,R0,C2,D3,R0,C1,D3,R0,
10089,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
1009-1,C2,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
1009-2,C2,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
1009-3,C2,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
10090-1,C1,D3,R0,C1,D2,R0,C1,D3,R0,C1,D3,R0,
10090-2,C1,D3,R0,C1,D3,R0,C2,D3,R0,C1,D3,R0,
10091,C2,D2,R0,C2,D2,R0,C2,D2,R0,C2,D2,R0,
10092,C1,D1,R0,,,,C1,D1,R0,C1,D1,R0,
10093-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10093-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10094-1,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10094-2,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10094-3,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10095-1,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10095-2,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10096,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10097,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10098,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10099,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
101-1,C1,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
101-2,C1,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
1010,C2,D0,R0,C2,D0,R0,C3,D0,R0,C2,D0,R0,
10100-1,C2,D1,R1,C1,D1,R1,C2,D1,R1,C2,D1,R1,
10100-2,C2,D1,R1,C1,D1,R1,C2,D1,R1,C2,D1,R1,
10101-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10101-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10102,C0,D0,R0,C0,D0,R0,C0,D0,R0,C0,D0,R0,
10103,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10104,C0,D2,R0,C0,D0,R0,C0,D2,R0,C0,D2,R0,
10105,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10106,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10107-1,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10107-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10107-3,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10108,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10109-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10109-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
1011,C2,D1,R0,C2,D1,R0,C2,D1,R0,C2,D1,R0,
10110,C1,D2,R0,C1,D3,R0,C1,D2,R0,C1,D2,R0,
10111-1,C1,D2,R0,C1,D3,R0,C1,D2,R0,C1,D2,R0,
10111-2,C1,D2,R0,C1,D3,R0,C1,D2,R0,C1,D2,R0,
10112-1,C0,D0,R0,C1,D0,R0,C0,D0,R0,C0,D0,R0,
10112-2,C0,D0,R0,C1,D0,R0,C0,D0,R0,C0,D0,R0,
10113,C0,D2,R0,C0,D2,R0,C0,D2,R0,C0,D2,R0,
10114,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10115-1,C1,D1,R0,C1,D1,R0,C1,D1,R0,C1,D1,R0,
10115-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10115-3,C0,D0,R0,C0,D0,R0,C0,D0,R0,C0,D0,R0,
10116-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10116-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10117,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10118-1,C0,D2,R0,C1,D2,R0,C0,D2,R0,C0,D2,R0,
10118-2,C0,D2,R0,C1,D2,R0,C0,D2,R0,C0,D2,R0,
10119-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10119-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
1012-1,C2,D0,R0,C2,D1,R0,C2,D0,R0,C2,D0,R0,
1012-2,C2,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
10120,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10121,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10122,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10123,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10124,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10126,C0,D2,R0,C1,D2,R0,C0,D2,R0,C0,D2,R0,
10127,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10128,C0,D2,R0,C0,D2,R0,C0,D2,R0,C0,D2,R0,
10129,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
1013-1,C2,D0,R0,C2,D1,R0,C2,D0,R0,C2,D0,R0,
1013-2,C2,D0,R0,C2,D1,R0,C2,D0,R0,C2,D0,R0,
10130,C0,D2,R0,C1,D2,R0,C0,D2,R0,C0,D2,R0,
10131,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10132,C2,D0,R0,C2,D2,R0,C2,D0,R0,C2,D0,R0,
10134-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10134-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10135-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10135-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10136-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10136-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10137,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10138-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10138-2,C0,D2,R0,C0,D2,R0,C0,D2,R0,C0,D2,R0,
10138-3,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10139,C0,D2,R0,C0,D2,R0,C0,D2,R0,C0,D2,R0,
1014-1,C2,D1,R0,C2,D1,R0,C2,D1,R0,C2,D1,R0,
1014-2,C2,D1,R0,C2,D1,R0,C2,D1,R0,C2,D1,R0,
10140,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10141-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10141-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10142,C1,D2,R0,C1,D2,R2,C1,D2,R2,C1,D2,R2,
10143,C1,D2,R0,C2,D2,R2,C1,D2,R2,C1,D2,R2,
10144,C1,D2,R0,C1,D2,R2,C1,D2,R2,C1,D2,R2,
10145-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10145-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10146,C1,D0,R0,C1,D0,R2,C1,D0,R2,C1,D0,R2,
10147-1,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10147-2,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10148,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10149-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10149-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10149-3,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
1015,C2,D0,R0,C2,D1,R0,C2,D0,R0,C2,D0,R0,
10150,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10151-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10151-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10152,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10153,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10154,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10155,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10156-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10156-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10156-3,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10157,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10158-1,C1,D0,R0,C1,D2,R0,C1,D0,R0,C1,D0,R0,
10158-2,C1,D3,R0,C1,D3,R0,C1,D4,R2,C1,D3,R0,
10159,C1,D4,R0,C1,D3,R0,C1,D4,R2,C1,D4,R0,
1016-1,C1,D0,R0,C2,D0,R0,C1,D0,R0,C1,D0,R0,
1016-2,C1,D0,R0,C2,D0,R0,C1,D0,R0,C1,D0,R0,
10160,C0,D0,R0,C1,D0,R0,C0,D0,R0,C0,D0,R0,
10161,C1,D3,R0,C1,D3,R3,C1,D3,R3,C1,D3,R3,
10162,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10163-1,C1,D2,R0,C2,D3,R2,C1,D3,R2,C1,D3,R2,
10163-2,C1,D2,R0,C2,D2,R2,C1,D3,R2,C1,D2,R2,
10163-3,C1,D2,R0,C2,D2,R2,C1,D3,R2,C1,D2,R2,
10164,C1,D1,R0,C1,D3,R0,C1,D3,R2,C1,D3,R0,
10165-1,C1,D1,R0,C1,D2,R0,C1,D1,R1,C1,D1,R0,
10165-2,C1,D2,R0,C1,D2,R0,C1,D3,R2,C1,D2,R0,
10165-3,C1,D2,R0,C1,D2,R0,C1,D3,R2,C1,D2,R0,
10166,C1,D0,R0,C1,D0,R0,C1,D0,R1,C1,D0,R0,
10167,C1,D3,R0,C1,D3,R0,C1,D4,R2,C1,D3,R0,
10168-1,C1,D3,R0,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10168-2,C1,D2,R0,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10168-3,C1,D1,R0,C1,D1,R0,C1,D1,R0,C1,D1,R0,
10169,C1,D3,R0,C1,D3,R0,C1,D4,R2,C1,D3,R0,
1017,C2,D1,R0,C2,D1,R0,C2,D1,R0,C2,D1,R0,
10170,C2,D1,R0,C2,D1,R2,C2,D1,R2,C2,D1,R2,
10171,C1,D3,R0,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10172,C1,D3,R0,C1,D3,R0,C1,D3,R2,C1,D3,R0,
10173,C1,D2,R0,C1,D1,R0,C1,D2,R0,C1,D2,R0,
10174-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10174-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10175,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10176,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10177,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10178-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10178-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10179,C1,D2,R0,C1,D4,R0,C1,D4,R0,C1,D4,R0,
1018,C2,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
10180-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10180-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10181,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10182-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10182-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10183-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10183-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10184,C1,D1,R0,C1,D1,R0,C1,D1,R0,C1,D1,R0,
10185,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10186-1,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10186-2,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10187,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10188,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10189-1,C1,D0,R0,C1,D1,R0,C1,D1,R0,C1,D1,R0,
10189-2,C1,D1,R0,C1,D1,R0,C1,D2,R0,C1,D1,R0,
1019,C2,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
10190-1,C1,D2,R0,C1,D4,R0,C1,D4,R0,C1,D4,R0,
10190-2,C1,D2,R0,C1,D4,R0,C1,D4,R0,C1,D4,R0,
10190-3,C1,D2,R0,C1,D4,R0,C1,D4,R0,C1,D4,R0,
10191-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10191-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10192,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10193,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10194,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10195-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10195-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10195-3,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10196-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10196-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10197-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10197-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10197-3,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10198-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10198-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10199,C1,D1,R0,C1,D1,R0,C1,D2,R0,C1,D1,R0,
102,C2,D0,R0,C2,D1,R0,C2,D0,R0,C2,D0,R0,
1020,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10200-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10200-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10203-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10203-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10206,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
10207,C1,D1,R0,C2,D1,R0,C2,D1,R0,C2,D1,R0,
10208-1,C0,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10208-2,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10209-1,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10209-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
1021-1,C2,D0,R1,C2,D1,R1,C2,D0,R0,C2,D0,R1,
1021-2,C2,D0,R0,C2,D0,R1,C2,D0,R0,C2,D0,R0,
10210,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10211-1,C1,D0,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10211-2,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10211-3,C1,D2,R0,C1,D2,R0,C1,D2,R0,C1,D2,R0,
10212,C1,D2,R0,C2,D2,R0,C1,D2,R0,C1,D2,R0,
