task_id,sonnet_C,sonnet_C_ir,gpt_C,gpt_C_ir,gemini_C,gemini_C_ir,consensus_C,consensus_C_method,sonnet_D,sonnet_D_ir,gpt_D,gpt_D_ir,gemini_D,gemini_D_ir,consensus_D,consensus_D_method,sonnet_R,sonnet_R_ir,gpt_R,gpt_R_ir,gemini_R,gemini_R_ir,consensus_R,consensus_R_method,dispute_axes
10006-1,C2,C2,C2,C2,C2,C2,C2,unanimous,D3,D3,D3,D1,D3,D1,D3,unanimous,R0,R1,R1,R0,R0,R0,R0,majority,
10006-2,C2,C2,C2,C2,C2,C2,C2,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R1,R0,R0,R0,R0,R0,unanimous,
10007,C2,C2,C2,C1,C2,C2,C2,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R1,R1,R1,R0,R1,R2,R1,unanimous,
10008-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D1,D1,D1,D1,D0,D0,D1,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10008-2,C2,C2,C2,C2,C2,C2,C2,unanimous,D1,D3,D3,D1,D3,D1,D3,majority,R0,R1,R1,R0,R0,R0,R0,majority,
10008-3,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R1,R0,unanimous,
10009-1,C1,C1,C2,C2,C2,C2,C2,majority,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R1,R0,unanimous,
10009-2,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10009-3,C1,C1,C1,C1,C1,C1,C1,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1001,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10010,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D3,D2,D3,D3,D3,majority,R1,R1,R0,R0,R1,R2,R1,majority,
10011,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10012-1,C1,C1,C2,C2,C1,C1,C1,majority,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R1,R1,R0,R0,R0,majority,
10012-2,C2,C2,C2,C2,C2,C2,C2,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R1,R1,R1,R1,R1,R2,R1,unanimous,
10013-1,C0,C0,C1,C1,C0,C1,C0,majority,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10013-2,C2,C2,C2,C1,C2,C2,C2,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10014,C1,C1,C1,C1,C1,C2,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R1,R1,R1,R1,R1,R2,R1,unanimous,
10015,C2,C2,C2,C2,C2,C2,C2,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10016,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D2,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10017,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D3,D3,D2,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10018-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10018-2,C0,C0,C0,C0,C0,C0,C0,unanimous,D0,D1,D1,D0,D0,D0,D0,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10019-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10019-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10019-3,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1002-1,C2,C3,C3,C2,C2,C2,C2,majority,D0,D0,D0,D0,D0,D0,D0,unanimous,R1,R1,R1,R1,R1,R0,R1,unanimous,
1002-2,C1,C1,C1,C2,C1,C1,C1,unanimous,D1,D1,D1,D1,D1,D1,D1,unanimous,R1,R0,R2,R2,R2,R2,R2,majority,
10020-1,C2,C2,C2,C2,C2,C2,C2,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10020-2,C2,C2,C2,C2,C2,C2,C2,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10021,C0,C0,C0,C0,C0,C0,C0,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10022-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10022-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10023,C0,C1,C1,C0,C1,C0,C1,majority,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10024,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10025-1,C0,C0,C1,C1,C0,C0,C0,majority,D2,D1,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10025-2,C1,C1,C1,C1,C1,C0,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10026-1,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10026-2,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10027,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D1,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10028-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10028-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10029,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1003,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10030,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10031,C1,C1,C1,C1,C1,C0,C1,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10033,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10034,C0,C0,C0,C0,C0,C0,C0,unanimous,D1,D1,D1,D2,D2,D1,D1,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10035-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D2,D3,D2,D3,unanimous,R2,R1,R2,R2,R2,R2,R2,unanimous,
10035-2,C1,C1,C2,C2,C1,C1,C1,majority,D3,D3,D3,D3,D3,D2,D3,unanimous,R0,R0,R0,R0,R2,R2,R0,majority,
10036,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D3,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R1,R1,R0,majority,
10037,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D3,D2,D2,D3,D2,D2,majority,R2,R1,R2,R2,R2,R2,R2,unanimous,
10038-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D1,D1,D2,D2,D2,D2,D2,majority,R0,R0,R0,R0,R2,R2,R0,majority,
10038-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D3,D2,D2,D3,D2,D2,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10039,C1,C1,C2,C2,C2,C1,C2,majority,D3,D3,D3,D3,D3,D2,D3,unanimous,R0,R0,R0,R0,R2,R2,R0,majority,
1004,C2,C2,C2,C2,C2,C3,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R1,R0,R0,R0,unanimous,
10040,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D3,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10041,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D2,D2,D3,D2,D3,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10042-1,C1,C1,C1,C2,C1,C1,C1,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10042-2,C1,C1,C1,C2,C2,C1,C1,majority,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10043,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D2,D3,unanimous,R3,R1,R3,R3,R3,R3,R3,unanimous,
10044-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R1,R0,R0,R2,R2,R0,majority,
10044-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R1,R0,R0,R2,R2,R0,majority,
10045-1,C1,C1,C2,C2,C2,C1,C2,majority,D3,D3,D3,D3,D3,D2,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10045-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D2,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10046,C1,C1,C2,C2,C2,C1,C2,majority,D3,D3,D3,D3,D3,D2,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10047-1,C2,C2,C2,C2,C2,C2,C2,unanimous,D2,D3,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10047-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D3,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10048,C2,C2,C2,C2,C2,C1,C2,unanimous,D3,D3,D3,D3,D3,D2,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10049,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D3,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1005-1,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1005-2,C1,C1,C1,C1,C2,C2,C1,majority,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10050,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10051-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D2,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10051-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D2,D3,D2,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10052,C2,C2,C2,C2,C2,C1,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10053,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D2,D3,unanimous,R3,R3,R3,R3,R3,R3,R3,unanimous,
10055,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D3,D3,D2,D3,D2,D3,majority,R0,R0,R0,R0,R2,R2,R0,majority,
10056,C2,C2,C2,C2,C2,C1,C2,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R3,R2,R3,R3,R3,R2,R3,unanimous,
10057,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R2,R2,R2,R2,R2,R2,R2,unanimous,
10058-1,C1,C1,C1,C2,C1,C1,C1,unanimous,D3,D3,D2,D2,D3,D3,D3,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10058-2,C1,C1,C1,C2,C1,C1,C1,unanimous,D3,D3,D2,D2,D3,D3,D3,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10059,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1006,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R1,R0,R0,R1,R0,R0,majority,
10060,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10061-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10061-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10062-1,C1,C1,C0,C2,C1,C0,C1,majority,D1,D1,D1,D1,D1,D1,D1,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10062-2,C0,C0,C0,C1,C0,C0,C0,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10063,C0,C0,C0,C1,C0,C0,C0,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10064-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10064-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10065,C0,C0,C0,C1,C0,C0,C0,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10066,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D2,D2,D2,D3,D3,D3,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10067,C0,C0,C1,C1,C0,C0,C0,majority,D3,D3,D2,D2,D3,D3,D3,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10068,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D2,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10069,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D2,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1007,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10070,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10071,C0,C0,C0,C0,C0,C0,C0,unanimous,D2,D3,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10072,C1,C1,C1,C1,C1,C0,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10073,C0,C0,C1,C1,C0,C0,C0,majority,D3,D3,D3,D2,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10074,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10075,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D3,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10076,C0,C0,C0,C0,C0,C0,C0,unanimous,D1,D0,D1,D1,D0,D0,D1,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10078,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10079,C1,C1,C1,C1,C1,C1,C1,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1008,C1,C1,C1,C1,C1,C1,C1,unanimous,D1,D0,D1,D1,D0,D1,D1,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10080-1,C1,C1,C1,C1,C1,C2,C1,unanimous,D1,D1,D2,D2,D2,D2,D2,majority,R0,R0,R1,R1,R1,R2,R1,majority,
10080-2,C1,C1,C1,C1,C1,C2,C1,unanimous,D3,D3,D3,D2,D2,D2,D3,majority,R0,R0,R1,R1,R1,R2,R1,majority,
10081,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R1,R1,R1,R2,R1,majority,
10082,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R1,R1,R0,R0,majority,
10083,C1,C1,C1,C1,C1,C1,C1,unanimous,D0,D1,D1,D0,D0,D0,D0,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10084-1,C2,C1,C2,C2,C2,C2,C2,unanimous,D3,D2,D3,D3,D3,D3,D3,unanimous,R0,R0,R1,R1,R1,R2,R1,majority,
10084-2,C1,C1,C2,C2,C2,C2,C2,majority,D3,D2,D3,D3,D3,D3,D3,unanimous,R0,R0,R1,R1,R1,R2,R1,majority,
10084-3,C2,C1,C2,C2,C2,C2,C2,unanimous,D3,D2,D3,D3,D3,D3,D3,unanimous,R0,R0,R1,R1,R1,R2,R1,majority,
10085-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D2,D3,D2,D3,unanimous,R0,R0,R1,R1,R1,R2,R1,majority,
10085-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D2,D3,D2,D3,unanimous,R0,R0,R1,R1,R1,R2,R1,majority,
10086,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D2,D3,D3,D3,unanimous,R0,R0,R1,R1,R1,R2,R1,majority,
10087-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R1,R0,R1,R1,R1,R2,R1,unanimous,
10087-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R1,R1,R1,R2,R1,majority,
10088-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D2,D2,D2,D2,D3,D2,majority,R0,R0,R1,R1,R1,R2,R1,majority,
10088-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D2,D3,D3,D2,D3,D3,majority,R0,R0,R1,R1,R1,R2,R1,majority,
10088-3,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D2,D2,D2,D2,D3,D2,majority,R0,R0,R1,R1,R1,R2,R1,majority,
10089,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R1,R1,R1,R0,R1,majority,
1009-1,C2,C2,C2,C2,C2,C2,C2,unanimous,D1,D0,D1,D1,D0,D0,D1,majority,R0,R1,R0,R0,R0,R0,R0,unanimous,
1009-2,C2,C2,C2,C2,C2,C2,C2,unanimous,D1,D0,D1,D1,D0,D0,D1,majority,R0,R1,R0,R0,R0,R0,R0,unanimous,
1009-3,C2,C2,C2,C2,C2,C2,C2,unanimous,D1,D0,D1,D1,D0,D0,D1,majority,R0,R1,R0,R0,R0,R0,R0,unanimous,
10090-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D3,D3,D2,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10090-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D3,D3,D2,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10091,C2,C2,C2,C2,C2,C2,C2,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10092,C1,C1,C1,C1,C1,C1,C1,unanimous,D1,D1,D1,D1,D1,D1,D1,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10093-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10093-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10094-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10094-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10094-3,C1,C1,C1,C1,C1,C1,C1,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10095-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10095-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10096,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10097,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10098,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D3,D3,D2,D3,D2,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10099,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
101-1,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
101-2,C2,C2,C2,C2,C2,C1,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1010,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10100-1,C2,C2,C2,C2,C2,C2,C2,unanimous,D1,D1,D1,D2,D1,D0,D1,unanimous,R1,R0,R1,R0,R0,R1,R1,majority,
10100-2,C2,C2,C2,C2,C2,C2,C2,unanimous,D1,D1,D1,D1,D1,D0,D1,unanimous,R0,R0,R0,R0,R0,R1,R0,unanimous,
10101-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10101-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10102,C0,C0,C0,C0,C0,C0,C0,unanimous,D0,D1,D1,D0,D0,D0,D0,majority,R0,R0,R0,R0,R0,R0,R0,unanimous,
10103,C1,C1,C1,C1,C1,C1,C1,unanimous,D2,D2,D2,D2,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10104,C1,C1,C1,C0,C1,C1,C1,unanimous,D2,D2,D2,D1,D2,D2,D2,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
